ID,Mi rol principal en la universidad es:,Distancia Recorrida (ida),Tiempo de traslado (ida),Modo de transporte principal,En tu viaje al ITESO: ¿Empleas el automóvil como la persona conductora o pasajera?,¿Qué días de la semana te trasladas al ITESO?_1,¿Qué días de la semana te trasladas al ITESO?_2,¿Qué días de la semana te trasladas al ITESO?_3,¿Qué días de la semana te trasladas al ITESO?_4,¿Qué días de la semana te trasladas al ITESO?_5,¿Qué días de la semana te trasladas al ITESO?_6,¿Qué días de la semana te trasladas al ITESO?_7,dias_campus_total,Días de desplazamiento al trabajo,"En un día típico, ¿a qué hora llegas y sales del ITESO?",Hora_1,Hora_2,Segundo Horario,Hora_1,Hora_2,Doy regularmente aventón_1,Pido regularmente aventón_1,Compartido con pasajeros_1
28037,Estudiante de licenciatura,8.57,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,09:00:00,13:00:00,Mi horario de salida es flexible,15:00:00,18:00:00,Nunca,Nunca,
28038,Estudiante de licenciatura,22.84,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,18:00:00,,Mi horario de salida es fijo,22:00:00,,Nunca,Nunca,
28039,Estudiante de licenciatura,8.87,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,18:00:00,08:00:00,,Nunca,
28040,Estudiante de licenciatura,12.03,,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,09:00:00,13:00:00,Mi horario de salida es flexible,16:00:00,20:00:00,Nunca,Nunca,
28041,Estudiante de licenciatura,12.29,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,15:00:00,20:00:00,Nunca,Nunca,
28042,Personal administrativo,5.18,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,19:00:00,20:30:00,Nunca,Nunca,1
28043,Estudiante de licenciatura,,,Transporte colectivo (Camión/rutas de MiTransporte),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,12:30:00,15:30:00,Mi horario de salida es flexible,18:00:00,20:00:00,,1 vez por semana,
28044,Estudiante de licenciatura,7.09,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,13:00:00,16:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,,,
28045,Estudiante de licenciatura,3.42,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,00:07:00,,Mi horario de salida es flexible,14:00:00,16:00:00,2 veces por semana,Nunca,1
28046,Profesor (a) de asignatura,21.17,,Tren Ligero (Mi Tren),,Lunes,,,,,,,1,1,Mi horario de llegada es fijo,15:30:00,,Mi horario de salida es fijo,18:00:00,,,,
28047,Estudiante de licenciatura,21.01,,Me llevan mis papás,,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es flexible,13:00:00,14:00:00,,,
28049,Estudiante de licenciatura,15.33,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:50:00,,Mi horario de salida es flexible,01:00:00,03:00:00,Nunca,Nunca,
28050,Estudiante de licenciatura,16.62,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,11:00:00,01:00:00,Nunca,Nunca,
28051,Estudiante de licenciatura,15.75,,Automóvil híbrido,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,11:00:00,01:00:00,Nunca,Nunca,
28052,Estudiante de posgrado,17.61,,Tren Ligero (Mi Tren),,,,,,Viernes,Sábado,,2,2,Mi horario de llegada es fijo,06:00:00,,Mi horario de salida es fijo,09:00:00,,,,
28053,Profesor (a) de tiempo fijo,19.99,3,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:30:00,,Mi horario de salida es fijo,18:00:00,,1 vez por semana,,1
28054,Estudiante de licenciatura,2.58,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,03:00:00,,Nunca,Nunca,
28055,Estudiante de licenciatura,14.31,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,10:00:00,18:00:00,Mi horario de salida es flexible,10:00:00,18:00:00,1 vez por semana,Nunca,2
28056,Personal administrativo,3.86,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,19:00:00,,,,
28057,Estudiante de licenciatura,6.34,,Tren Ligero (Mi Tren),Pasajera,,Martes,Miércoles,Jueves,,,,3,3,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es fijo,03:00:00,,,,
28058,Estudiante de licenciatura,8.28,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,11:00:00,04:00:00,Mi horario de salida es flexible,03:00:00,10:00:00,1 vez por semana,,
28059,Estudiante de licenciatura,2.8,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,18:00:00,Mi horario de salida es flexible,11:00:00,20:00:00,4 o más veces por semana,,1
28060,Estudiante de licenciatura,6.2,,Transporte universitario,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,04:00:00,,Mi horario de salida es fijo,09:50:00,,,,
28061,Estudiante de licenciatura,4.19,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,01:00:00,Mi horario de salida es fijo,10:00:00,,Nunca,Nunca,
28062,Estudiante de licenciatura,10.05,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es flexible,01:00:00,04:00:00,3 veces por semana,,1
28063,Estudiante de licenciatura,21.39,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,06:50:00,08:50:00,Mi horario de salida es fijo,13:00:00,,,,
28064,Estudiante de licenciatura,13.86,,Mi Macro (Calzada o Periférico),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,14:30:00,Mi horario de salida es flexible,09:30:00,07:30:00,,,
28065,Estudiante de posgrado,15.94,,Tren Ligero (Mi Tren),,,Martes,Miércoles,,Viernes,,,3,3,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,10:10:00,,,,
28066,Profesor (a) de asignatura,13.88,3,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,11:00:00,15:00:00,1 vez por semana,Nunca,1
28067,Estudiante de posgrado,7.43,,Automóvil compacto,Conductora,,,Miércoles,,,,,1,1,Mi horario de llegada es fijo,17:00:00,,Mi horario de salida es fijo,22:00:00,,1 vez por semana,Nunca,
28068,Estudiante de licenciatura,8.46,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,11:00:00,,Nunca,Nunca,1
28069,Estudiante de licenciatura,10.56,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,01:00:00,06:00:00,,,1
28070,Estudiante de licenciatura,7.07,,Automóvil compacto,Conductora,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es flexible,07:10:00,09:00:00,Mi horario de salida es flexible,11:00:00,09:00:00,Nunca,Nunca,
28071,Estudiante de licenciatura,10.1,,Pickup,,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,11:00:00,18:00:00,Mi horario de salida es fijo,21:00:00,,,,
28072,Estudiante de licenciatura,22.46,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,01:00:00,03:00:00,,,
28073,Estudiante de posgrado,14.99,,Automóvil compacto,Conductora,,,Miércoles,Jueves,,,,2,2,Mi horario de llegada es fijo,19:00:00,,Mi horario de salida es fijo,22:00:00,,Nunca,Nunca,
28074,Estudiante de licenciatura,31.1,210,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,10:00:00,13:00:00,Mi horario de salida es flexible,18:00:00,22:00:00,1 vez por semana,,
28075,Profesor (a) de asignatura,5.9,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,20:00:00,Mi horario de salida es flexible,10:00:00,10:00:00,,,1
28076,Estudiante de licenciatura,11.99,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,15:00:00,20:00:00,,4 o más veces por semana,2
28077,Estudiante de posgrado,28.75,,Mi Macro (Calzada o Periférico),,,Martes,Miércoles,,,,,2,2,Mi horario de llegada es flexible,17:00:00,20:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,,,
28078,Estudiante de licenciatura,17.36,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,15:00:00,20:00:00,,,
28079,Estudiante de posgrado,4.52,,Transporte universitario,,,Martes,Miércoles,,,Sábado,,3,3,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,22:15:00,,,,
28080,Estudiante de licenciatura,9.99,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,07:10:00,,Mi horario de salida es fijo,10:00:00,,Nunca,Nunca,
28081,Estudiante de licenciatura,21.37,,Mi Macro (Calzada o Periférico),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,16:00:00,,Mi horario de salida es fijo,20:00:00,,,,
28082,Profesor (a) de asignatura,17.82,90,Automóvil compacto,Conductora,Lunes,,Miércoles,,Viernes,,,3,3,Mi horario de llegada es flexible,07:30:00,10:00:00,Mi horario de salida es flexible,13:00:00,15:00:00,Nunca,Nunca,
28083,Estudiante de licenciatura,9.45,,Automóvil SUV (tipo camioneta),Pasajera,,Martes,,Jueves,Viernes,,,3,3,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,20:00:00,13:00:00,,,
28084,Estudiante de licenciatura,13.64,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,20:00:00,,1 vez por semana,Nunca,1
28085,Estudiante de licenciatura,5.38,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,15:00:00,,,,
28086,Estudiante de licenciatura,23.93,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,03:00:00,06:00:00,Nunca,,
28087,Estudiante de licenciatura,4.61,,Transporte universitario,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,11:00:00,18:00:00,,,
28088,Estudiante de licenciatura,13.55,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,01:00:00,06:00:00,,,
28089,Estudiante de posgrado,,20,Transporte colectivo (Camión/rutas de MiTransporte),,,Martes,Miércoles,,,Sábado,,3,3,Mi horario de llegada es fijo,19:00:00,,Mi horario de salida es fijo,22:20:00,,,,
28090,Estudiante de licenciatura,,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,18:00:00,,,,
28091,Estudiante de licenciatura,6.64,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es flexible,03:00:00,08:00:00,,,1
28092,Estudiante de licenciatura,18.57,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,03:00:00,,Nunca,Nunca,
28093,Estudiante de licenciatura,10.78,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,06:50:00,08:50:00,Mi horario de salida es flexible,11:30:00,18:30:00,,,
28094,Estudiante de licenciatura,17.49,,Tren Ligero (Mi Tren),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,02:00:00,03:00:00,,1 vez por semana,
28095,Estudiante de licenciatura,12.45,,Mi Macro (Calzada o Periférico),,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es fijo,02:00:00,,,,
28096,Estudiante de licenciatura,9.68,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:30:00,,Mi horario de salida es flexible,15:00:00,20:00:00,,,3
28097,Estudiante de licenciatura,8.67,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,09:00:00,14:00:00,Nunca,Nunca,
28098,Estudiante de licenciatura,11.94,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,Sábado,,5,5,Mi horario de llegada es flexible,16:00:00,18:00:00,Mi horario de salida es fijo,22:00:00,,Nunca,Nunca,
28099,Estudiante de licenciatura,6.02,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es flexible,13:00:00,14:00:00,Nunca,,
28100,Estudiante de licenciatura,3.98,,Scooter o monopatín,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:40:00,,Mi horario de salida es flexible,01:00:00,08:00:00,,,
28101,Estudiante de licenciatura,18.2,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es flexible,18:00:00,19:00:00,,,
28102,Estudiante de licenciatura,14.49,,Automóvil compacto,Conductora,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,13:00:00,18:00:00,1 vez por semana,Nunca,
28103,Estudiante de licenciatura,3.87,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,,,,,3,3,Mi horario de llegada es flexible,04:00:00,06:00:00,Mi horario de salida es flexible,08:00:00,10:00:00,Nunca,Nunca,
28104,Estudiante de licenciatura,8.97,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,,Viernes,,,4,4,Mi horario de llegada es flexible,01:00:00,04:00:00,Mi horario de salida es flexible,06:00:00,08:00:00,Nunca,,
28105,Estudiante de licenciatura,19.8,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,03:00:00,07:00:00,Mi horario de salida es fijo,10:30:00,,Nunca,Nunca,
28106,Estudiante de licenciatura,8.43,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,08:40:00,11:00:00,Mi horario de salida es flexible,01:10:00,04:30:00,,,
28107,Estudiante de licenciatura,18.15,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,16:00:00,18:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,3 veces por semana,,1
28108,Estudiante de licenciatura,9.26,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,13:00:00,16:00:00,2 veces por semana,,
28109,Estudiante de licenciatura,19.37,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,13:00:00,14:00:00,Nunca,Nunca,
28110,Estudiante de licenciatura,12.98,,Transporte colectivo (Camión/rutas de MiTransporte),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,11:00:00,13:00:00,,,
